all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,178192,302960,673,947,617,127962


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,And then I had a bit of some extra time off in 2011 .
mutation sentence,And then I had a bit of some personal time off in 2011 .

original sentence,I was basically hauled in and told that my mum had attacked the church and that I needed to disconnect from her because she was suppressive .
wrong word,in 5
mutation sentence,I was basically hauled in and were told that my mum had attacked the church and that I needed to disconnect from her because she was suppressive .

original sentence,""" I smacked them around . """
wrong word,around 5
mutation sentence,""" I smacked all them around . """
mutation sentence,""" I smacked both them around . """

original sentence,"When you have a looming project that 's bogging you down and making you unproductive in other areas , tackle it first ."
wrong word,down 11
mutation sentence,"When you have a looming project that 's bogging even you down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging all you down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging both you down and making you unproductive in other areas , tackle it first ."



"pos from 介词 to 助词
"


"pos from 介词 to 并列连词
"


"pos from 介词 to 定冠
"


"pos from 介词 to 感叹
"


"pos from 介词 to 名词
"


"pos from 介词 to 数字
"


"pos from 介词 to 功能
"


"pos from 介词 to 代词
"


"pos from 介词 to 特指名词
"


"pos from 介词 to 标点
"


"pos from 介词 to 从句连词
"
original sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
wrong word,during 6
mutation sentence,"Interestingly though , the femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly however , the femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the observed femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in only our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in just our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in even our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our experimental control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our normal control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our human control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our healthy control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our own control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our upper control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our low control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our large control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our average control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight experimental group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group also resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group somewhat resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles closely the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles well the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles strongly the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles also the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles greatly the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles the results reported previously in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles the results reported recently in the experimental subjects of Carrano and Biewener ."

original sentence,"Daniel Bernoulli was described by W. W. Rouse Ball as "" by far the ablest of the younger Bernoullis "" ."
wrong word,as 10
mutation sentence,"Daniel Bernoulli was described by W. W. Rouse Ball as "" being by far the ablest of the younger Bernoullis "" ."

original sentence,"One of Fillmore 's most widely noticed works of the time ( with Paul Kay and Cathy O'Connor ) appeared in ' Language ' in 1988 as "" Regularity and Idiomaticity in Grammatical Constructions : The Case of Let Alone "" ."
wrong word,of 38
mutation sentence,"One of Fillmore 's most widely noticed works of the time ( with Paul Kay and Cathy O'Connor ) appeared in ' Language ' in 1988 as "" Regularity and Idiomaticity in Grammatical Constructions : The Case of Let Me Alone "" ."
mutation sentence,"One of Fillmore 's most widely noticed works of the time ( with Paul Kay and Cathy O'Connor ) appeared in ' Language ' in 1988 as "" Regularity and Idiomaticity in Grammatical Constructions : The Case of Let Them Alone "" ."

original sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
wrong word,of 20
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of in the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the general English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English language lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English syntax lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing very much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing so much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing again much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing too much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing fairly much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier had proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier previously proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his earlier theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his early theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his later theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , all while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example language sentences from corpora ."

original sentence,"On the other hand , extant newspaper clippings from only a few days after the duel give a description of his opponent ( identified by the initials "" L. D. "" ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"
wrong word,after 14
mutation sentence,"On the other hand , extant newspaper clippings from only a few days after the duel clearly give a description of his opponent ( identified by the initials "" L. D. "" ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"
mutation sentence,"On the other hand , extant newspaper clippings from only a few days after the duel apparently give a description of his opponent ( identified by the initials "" L. D. "" ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"

original sentence,"Her former professor , Koolhaas , described her at graduation as "" a planet in her own orbit . """
wrong word,as 11
mutation sentence,"Her former professor , Koolhaas , described her at graduation as "" being a planet in her own orbit . """

original sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
wrong word,to 24
mutation sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when they compared to what she was writing concurrently in her diary ."
mutation sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when it compared to what she was writing concurrently in her diary ."
mutation sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when she compared to what she was writing concurrently in her diary ."

original sentence,"In addition to acting , Moreau worked behind the camera as a writer , director and producer . [ 2 ]"
wrong word,to 3
mutation sentence,"In addition to acting professionally , Moreau worked behind the camera as a writer , director and producer . [ 2 ]"

original sentence,"Retiring to the monastery of Phbow , Pachomius gave Theodorus complete control over Tabennese , though recalled him from the position after witnessing several monks under Theodorus ’ watch violating the monastic rules without reprimand ."
wrong word,without 34
mutation sentence,"Retiring to the monastery of Phbow , Pachomius gave Theodorus complete control over Tabennese , though recalled him from the position after witnessing several monks under Theodorus ’ watch violating the monastic rules without reprimand them ."

original sentence,"She tries to sit down , but I just keep on tugging and she follows me , gulping and wailing ."
wrong word,on 11
mutation sentence,"She tries to sit down , but I just keep on tugging her and she follows me , gulping and wailing ."
mutation sentence,"She tries to sit down , but I just keep on tugging and so she follows me , gulping and wailing ."

original sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what his legs were doing ."
wrong word,against 19
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what only his legs were doing ."
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what even his legs were doing ."
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what not his legs were doing ."
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what his robot legs were doing ."

original sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it should be like , or what it should n't be like ."
wrong word,of 30
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no longer reasonable expectation of what it should be like , or what it should n't be like ."
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it really should be like , or what it should n't be like ."
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it actually should be like , or what it should n't be like ."
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it truly should be like , or what it should n't be like ."

original sentence,The only way to get at what 's different is to make comparisons with close relatives .
wrong word,at 6
mutation sentence,The only way to get at what it 's different is to make comparisons with close relatives .
mutation sentence,The only way to get at what he 's different is to make comparisons with close relatives .
mutation sentence,The only way to get at what she 's different is to make comparisons with close relatives .

original sentence,I compared the things I saw under the 'scopes to what had been published on other species in this group .
wrong word,to 10
mutation sentence,I compared the things I saw under the 'scopes to what I had been published on other species in this group .
mutation sentence,I compared the things I saw under the 'scopes to what we had been published on other species in this group .

original sentence,"It varies ; look around Manhattan , look around rents , look around build-outs , look around hiring , look around advertising ..."
wrong word,around 17
mutation sentence,"It varies ; look around Manhattan , look around rents , look around build-outs , just look around hiring , look around advertising ..."

original sentence,"What would a question like "" the greatest woman in the world "" reveal to you ?"
wrong word,like 5
mutation sentence,"What would a question like "" being the greatest woman in the world "" reveal to you ?"

original sentence,"So even back in the sixties , he was very aware of this part of our culture ."
wrong word,of 12
mutation sentence,"So even back in the sixties , he was very aware of this being part of our culture ."

original sentence,Is it always about them ?
wrong word,about 4
mutation sentence,Is it always about them fighting ?

original sentence,"Congratulations — by seeking help , you 've already demonstrated more self-awareness than the vast majority of online flirts ."
wrong word,by 3
mutation sentence,"Congratulations — by seeking my help , you 've already demonstrated more self-awareness than the vast majority of online flirts ."
mutation sentence,"Congratulations — by seeking your help , you 've already demonstrated more self-awareness than the vast majority of online flirts ."
mutation sentence,"Congratulations — by seeking our help , you 've already demonstrated more self-awareness than the vast majority of online flirts ."
mutation sentence,"Congratulations — by seeking his help , you 've already demonstrated more self-awareness than the vast majority of online flirts ."



"pos from 介词 to 符号
"


"pos from 介词 to 动词
"


"pos from 介词 to 其他
"


"pos from 副词 to 形容
"
original sentence,"The only other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"
wrong word,early 12
mutation sentence,"The only other Pirates player to have a four-hit game so early in on his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"

original sentence,I wondered how long it would be before it found reinforcements .
wrong word,long 4
mutation sentence,I often wondered how long it would be before it found reinforcements .
mutation sentence,I wondered exactly how long it would be before it found reinforcements .

original sentence,"She was nineteen , two years younger than Carroll ; she was a student at Jellicoh College and every weekday she rose at seven and biked four miles into town , and then back again on her bike , four miles uphill to the farm ."
wrong word,uphill 42
mutation sentence,"She was nineteen , two years younger than Carroll ; she was a student at Jellicoh College and every weekday she rose at seven and biked four miles into town , and then back again on her bike , another four miles uphill to the farm ."
mutation sentence,"She was nineteen , two years younger than Carroll ; she was a student at Jellicoh College and every weekday she rose at seven and biked four miles into town , and then back again on her bike , four miles uphill to the old farm ."

original sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world as much as we ’ll hit characters in the entertainment world .
wrong word,much 14
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world almost as much as we ’ll hit characters in the entertainment world .
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world about as much as we ’ll hit characters in the entertainment world .
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world nearly as much as we ’ll hit characters in the entertainment world .

original sentence,"The only scheduled shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
wrong word,only 2
mutation sentence,"The only scheduled passenger shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled cargo shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled freight shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping mail service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping service to the Chatham Islands currently remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping service to the Chatham Islands presently remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping service to the Chatham Islands remains the small Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."

original sentence,"Daily 08:00 - 20:00 , Su 08:00 - 14:00 ."
wrong word,Daily 1
mutation sentence,"Daily 08:00 - 20:00 , Su 08:00 * - 14:00 ."

original sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in the world ."
wrong word,else 30
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found together anywhere else in the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found naturally anywhere else in the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found much anywhere else in the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in all the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in probably the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in most the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in possibly the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in perhaps the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in both the world ."



"pos from 副词 to 介词
"
original sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
wrong word,around 16
mutation sentence,"We just sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We still sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat back on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the back porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the small porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching them , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching intently , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching him , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , kids no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , us no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , spirits no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , me no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , then no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer yet daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring ourselves to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring not to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring yet to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring themselves to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring them to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring only to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to instinctively dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to casually dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to actually dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart back out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out back and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out outside and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in between the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops rapidly turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops gradually turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops now turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops outside turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned rain to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and eventually the staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the rhythmic staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato rhythmic tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the slate roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the metal roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof had climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof eventually climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed itself to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed almost to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed eventually to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to almost a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to nearly a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous crashing roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous rhythmic roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous white roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous final roar ."

original sentence,"We pulled off wet socks and shoes , letting them float away on the tide , before the great worm turned and the wake engulfed the creaking , cracking house ."
wrong word,away 12
mutation sentence,"We pulled off wet socks and shoes , letting them gently float away on the tide , before the great worm turned and the wake engulfed the creaking , cracking house ."
mutation sentence,"We pulled off wet socks and shoes , letting them simply float away on the tide , before the great worm turned and the wake engulfed the creaking , cracking house ."

original sentence,"Title , binding , and covers had been gnawed away ."
wrong word,away 10
mutation sentence,"Title , binding , and covers all had been gnawed away ."

original sentence,"The US State Department said John Kerry , the Secretary of State , contacted Thailand 's foreign minister over temporary housing for the Rohingya out at sea ."
wrong word,out 25
mutation sentence,"The US State Department said John Kerry , the Secretary of State , contacted Thailand 's foreign minister over temporary housing for the Rohingya out at open sea ."

original sentence,Hold the bird down gently with one hand .
wrong word,down 4
mutation sentence,Hold the dead bird down gently with one hand .



"pos from 副词 to 副词
"


"pos from 副词 to 助词
"


"pos from 副词 to 并列连词
"
original sentence,"He seems to have abstained for a considerable time from the study of the classics and to have plunged deeply into that of the Bible , under the impulse of Apollinaris of Laodicea , then teaching in Antioch and not yet suspected of heresy ."
wrong word,yet 41
mutation sentence,"He seems to have abstained for a considerable time from the study of the classics and to have plunged deeply into that of the Bible , under the impulse of Apollinaris of Laodicea , then teaching in Antioch and not yet suspected him of heresy ."
mutation sentence,"He seems to have abstained for a considerable time from the study of the classics and to have plunged deeply into that of the Bible , under the impulse of Apollinaris of Laodicea , then teaching in Antioch and not yet suspected himself of heresy ."

original sentence,"“ Do n’t get much older either , ” Betty said ."
wrong word,either 7
mutation sentence,"“ Do n’t get much older either , now ” Betty said ."



"pos from 副词 to 定冠
"


"pos from 副词 to 感叹
"


"pos from 副词 to 名词
"


"pos from 副词 to 数字
"


"pos from 副词 to 功能
"


"pos from 副词 to 代词
"


"pos from 副词 to 特指名词
"


"pos from 副词 to 标点
"


"pos from 副词 to 从句连词
"
original sentence,The first challenge that we have before can do any kind of analysis of these interstellar dust particles is simply to find them .
wrong word,before 7
mutation sentence,The first challenge that we will have before can do any kind of analysis of these interstellar dust particles is simply to find them .
mutation sentence,The first challenge that we may have before can do any kind of analysis of these interstellar dust particles is simply to find them .

original sentence,Mostly they require tight fitting clothing so they can see that your muscles are working properly and so on .
wrong word,so 7
mutation sentence,Mostly they require tight fitting clothing so they can see now that your muscles are working properly and so on .
mutation sentence,Mostly they require tight fitting clothing so they can see immediately that your muscles are working properly and so on .
mutation sentence,Mostly they require tight fitting clothing so they can see only that your muscles are working properly and so on .
mutation sentence,Mostly they require tight fitting clothing so they can see inside that your muscles are working properly and so on .
