all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"

original sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given away by the city and bought from street vendors at the event ."
wrong word,away 19
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given far away by the city and bought from street vendors at the event ."
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given right away by the city and bought from street vendors at the event ."
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given back away by the city and bought from street vendors at the event ."

original sentence,A sudden rain storm on Sunday night ( March 4 ) caused a mass exodus of people to head for the station prompting lines that backed up into the street .
wrong word,up 27
mutation sentence,A sudden rain storm on Sunday night ( March 4 ) caused a mass exodus of people to head for the station prompting lines that backed right up into the street .

original sentence,""" He 's hanging out with the celebrities , and has kind of become the same sort of celebrity he was interested in documenting earlier in his career "" , Wilkins said ."
wrong word,out 5
mutation sentence,""" He 's hanging around out with the celebrities , and has kind of become the same sort of celebrity he was interested in documenting earlier in his career "" , Wilkins said ."

original sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed away in 1933 .
wrong word,away 13
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed peacefully away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed right away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed quietly away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed far away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed straight away in 1933 .

original sentence,"Like other cities in the so-called "" rust belt “ , Cleveland has endured growing pains as it makes its transition from a manufacturing-based economy ."
wrong word,as 17
mutation sentence,"Like other cities in the so-called "" rust belt “ , Cleveland has endured growing pains as soon it makes its transition from a manufacturing-based economy ."

original sentence,"With the development of artificial twines the sisal boom ended , and Mérida slowed to a more sleepy provincial capital until development picked back up in the late 20th century ."
wrong word,up 25
mutation sentence,"With the development of artificial twines the sisal boom ended , and Mérida slowed to a more sleepy provincial capital until development picked steadily back up in the late 20th century ."
mutation sentence,"With the development of artificial twines the sisal boom ended , and Mérida slowed to a more sleepy provincial capital until development picked back up sharply in the late 20th century ."

original sentence,"On the hottest days , it can get up to 115 ° F ( 46 ° C ) or more ."
wrong word,up 9
mutation sentence,"On the hottest days , it can get up close to 115 ° F ( 46 ° C ) or more ."

original sentence,"Due to its remarkable biodiversity , with over a third of the local plant species found nowhere else , Socotra has been designated a UNESCO World Heritage Site ."
wrong word,over 8
mutation sentence,"Due to its remarkable biodiversity , with over nearly a third of the local plant species found nowhere else , Socotra has been designated a UNESCO World Heritage Site ."

original sentence,If your drawstring is longer than your pinkie then you should cut it off till it is roughly the size of your fingernail .
wrong word,off 14
mutation sentence,If your drawstring is longer than your pinkie then you should cut it straight off till it is roughly the size of your fingernail .
mutation sentence,If your drawstring is longer than your pinkie then you should cut it further off till it is roughly the size of your fingernail .

original sentence,"If you 're signed up for a class , check with your instructor to find out if there is a dress code at the school ."
wrong word,out 16
mutation sentence,"If you 're signed up for a class , check with your instructor to find straight out if there is a dress code at the school ."
mutation sentence,"If you 're signed up for a class , check with your instructor to find back out if there is a dress code at the school ."

original sentence,"When you see the first green tendrils push up through the soil , it 's time to remove the plastic wrap ."
wrong word,up 9
mutation sentence,"When you see the first few green tendrils push up through the soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green creeping tendrils push up through the soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push back up through the soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push straight up through the soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push right up through the soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the sandy soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soft soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the loose soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the dry soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the black soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the rocky soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the rich soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the wet soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the red soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the moist soil , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil again , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil below , it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , then it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , maybe it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , now it 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it really 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it sure 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it finally 's time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's almost time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's about time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's finally time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's probably time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's just time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's always time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's nearly time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's high time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's now time to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time enough to remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to carefully remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to gently remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to slowly remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to quickly remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to manually remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to finally remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to completely remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to properly remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to quietly remove the plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to remove the protective plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to remove the thick plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to remove the sticky plastic wrap ."
mutation sentence,"When you see the first green tendrils push up through the soil , it 's time to remove the damn plastic wrap ."

original sentence,"To plant the basil in the garden , dig holes spaced at least 6 inches apart ."
wrong word,at 12
mutation sentence,"To plant the basil in the garden , then dig holes spaced at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes carefully spaced at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes regularly spaced at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes properly spaced at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes randomly spaced at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes spaced about at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes spaced approximately at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes spaced equally at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes spaced at least approximately 6 inches apart ."

original sentence,"Water the mature basil plants once a day , in the morning , so the water has time to soak in and evaporate rather than sitting on the plants overnight ."
wrong word,in 21
mutation sentence,"Water the mature basil plants once a day , in the morning , so the water has time to soak back in and evaporate rather than sitting on the plants overnight ."
mutation sentence,"Water the mature basil plants once a day , in the morning , so the water has time to soak right in and evaporate rather than sitting on the plants overnight ."
mutation sentence,"Water the mature basil plants once a day , in the morning , so the water has time to soak straight in and evaporate rather than sitting on the plants overnight ."

original sentence,"If you look closely , at the base of every leaf are two tiny little leaves that will grow outwards if the stem growing between them is cut off ."
wrong word,off 29
mutation sentence,"If you look closely , at the base of every leaf are two tiny little leaves that will grow outwards if the stem growing between them is cut straight off ."

original sentence,Place it down so that its breast is carrying its weight and rests on the ground .
wrong word,down 3
mutation sentence,Place it upside down so that its breast is carrying its weight and rests on the ground .
mutation sentence,Place it head down so that its breast is carrying its weight and rests on the ground .
mutation sentence,Place it back down so that its breast is carrying its weight and rests on the ground .
mutation sentence,Place it down so that its breast is carrying its weight and rests on the ground underneath .

original sentence,Clap your hands or give it a gentle shove until it jumps up and walks away .
wrong word,up 13
mutation sentence,Clap your hands or give it a gentle shove until it jumps straight up and walks away .

original sentence,Build in or add something to the elevator .
wrong word,in 2
mutation sentence,Build in or just add something to the elevator .
mutation sentence,Build in or else add something to the elevator .
mutation sentence,Build in or otherwise add something to the elevator .
mutation sentence,Build in or actually add something to the elevator .
mutation sentence,Build in or add something useful to the elevator .
mutation sentence,Build in or add something special to the elevator .
mutation sentence,Build in or add something interesting to the elevator .
mutation sentence,Build in or add something nice to the elevator .
mutation sentence,Build in or add something valuable to the elevator .
mutation sentence,Build in or add something substantial to the elevator .
mutation sentence,Build in or add something to the existing elevator .
mutation sentence,Build in or add something to the original elevator .
mutation sentence,Build in or add something to the entire elevator .
mutation sentence,Build in or add something to the main elevator .
mutation sentence,Build in or add something to the internal elevator .

original sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( along with a few dollars ) ."
wrong word,along 34
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( right along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( usually along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( sometimes along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( often along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( maybe along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( perhaps along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( presumably along with a few dollars ) ."
mutation sentence,"To truly make a glowstick without breaking an already-made glowstick and shoving its contents into a tube ( also known as cheating ) , you 've gotta let your inner scientist out ( hopefully along with a few dollars ) ."

original sentence,"If you 're still curious , read on ."
wrong word,on 8
mutation sentence,"If you 're still curious , read later on ."
mutation sentence,"If you 're still curious , read back on ."
mutation sentence,"If you 're still curious , read further on ."

original sentence,"Listen up , kids : You 'll be working with a solution that 's near a 12 on the pH scale ."
wrong word,up 2
mutation sentence,"Listen closely up , kids : You 'll be working with a solution that 's near a 12 on the pH scale ."

original sentence,Shake them up once the lids are on tightly .
wrong word,up 3
mutation sentence,Shake them straight up once the lids are on tightly .

original sentence,This makes your first language a proto-language — a language that branches off into a family of languages .
wrong word,off 13
mutation sentence,This makes your first language a proto-language — a language that branches right off into a family of languages .
mutation sentence,This makes your first language a proto-language — a language that branches back off into a family of languages .
mutation sentence,This makes your first language a proto-language — a language that branches straight off into a family of languages .
mutation sentence,This makes your first language a proto-language — a language that branches directly off into a family of languages .
mutation sentence,This makes your first language a proto-language — a language that branches further off into a family of languages .

original sentence,"Write down a list of everything you are packing , in particular if it 's valuable ."
wrong word,down 2
mutation sentence,"Write back down a list of everything you are packing , in particular if it 's valuable ."

original sentence,"Boxes should be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
wrong word,up 12
mutation sentence,"Boxes also should be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes inside should be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should also be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should always be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should only be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should usually be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should therefore be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should often be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should generally be marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be clearly marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be carefully marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be specifically marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be specially marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be properly marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be individually marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be explicitly marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be correctly marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be appropriately marked "" Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Very Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Most Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Less Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Still Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Really Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Extra Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Too Fragile "" and "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Fragile "" and sometimes "" This side up "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Fragile "" and "" This side up only "" to prevent mishandling ."
mutation sentence,"Boxes should be marked "" Fragile "" and "" This side up "" correctly to prevent mishandling ."

original sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things off ."
wrong word,off 19
mutation sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things far off ."
mutation sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things right off ."
mutation sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things way off ."
mutation sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things back off ."
mutation sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things further off ."
mutation sentence,"If you 're a chronic procrastinator , you know the pain and stress that comes with putting things well off ."

original sentence,"Focus your list on including the things you typically put off , not the things you are sure to do on a regular basis ."
wrong word,off 11
mutation sentence,"Focus your list on including the things you typically put far off , not the things you are sure to do on a regular basis ."

original sentence,Write every thought down that comes up during work .
wrong word,down 4
mutation sentence,Write every thought upside down that comes up during work .
mutation sentence,Write every thought right down that comes up during work .
mutation sentence,Write every thought back down that comes up during work .
mutation sentence,Write every thought face down that comes up during work .
wrong word,up 7
mutation sentence,Write every thought upside down that comes up during work .
mutation sentence,Write every thought down that comes back up during work .

original sentence,"When you have a looming project that 's bogging you down and making you unproductive in other areas , tackle it first ."
wrong word,down 11
mutation sentence,"When you have a looming project that 's bogging you right down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you completely down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you upside down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you deep down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you way down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you totally down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you further down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you emotionally down and making you unproductive in other areas , tackle it first ."

original sentence,"If you find yourself being pulled off into the depths of daydreams , set a period of time to do nothing but work ."
wrong word,off 7
mutation sentence,"If you find yourself being pulled far off into the depths of daydreams , set a period of time to do nothing but work ."
mutation sentence,"If you find yourself being pulled further off into the depths of daydreams , set a period of time to do nothing but work ."
mutation sentence,"If you find yourself being pulled back off into the depths of daydreams , set a period of time to do nothing but work ."
mutation sentence,"If you find yourself being pulled right off into the depths of daydreams , set a period of time to do nothing but work ."
mutation sentence,"If you find yourself being pulled straight off into the depths of daydreams , set a period of time to do nothing but work ."
mutation sentence,"If you find yourself being pulled completely off into the depths of daydreams , set a period of time to do nothing but work ."
mutation sentence,"If you find yourself being pulled farther off into the depths of daydreams , set a period of time to do nothing but work ."

original sentence,"If you do n't finish the task in the allotted time , then you move on to the next one ."
wrong word,on 16
mutation sentence,"If you do n't finish the task in the allotted time , then you move straight on to the next one ."
mutation sentence,"If you do n't finish the task in the allotted time , then you move right on to the next one ."
mutation sentence,"If you do n't finish the task in the allotted time , then you move directly on to the next one ."
mutation sentence,"If you do n't finish the task in the allotted time , then you move immediately on to the next one ."

original sentence,Just be sure to follow through with your deadline rather than ignoring it when your alarm finally goes off .
wrong word,through 6
mutation sentence,Just be sure to follow straight through with your deadline rather than ignoring it when your alarm finally goes off .
wrong word,off 19
mutation sentence,Just be sure to follow through with your deadline rather than ignoring it when your alarm finally goes way off .
mutation sentence,Just be sure to follow through with your deadline rather than ignoring it when your alarm finally goes completely off .
mutation sentence,Just be sure to follow through with your deadline rather than ignoring it when your alarm finally goes right off .

original sentence,Quidditch has also spread outside of America and is now played on 5 continents .
wrong word,outside 5
mutation sentence,Quidditch has also spread further outside of America and is now played on 5 continents .

original sentence,If a player is pegged they have to stop what they 're doing and pay a penalty ; i.e. ( drop the quaffle in the case of a chaser ) and run back to and touch their goal post or alternatively sit down for 10 seconds .
wrong word,down 43
mutation sentence,If a player is pegged they have to stop what they 're doing and pay a penalty ; i.e. ( drop the quaffle in the case of a chaser ) and run back to and touch their goal post or alternatively sit face down for 10 seconds .



"pos from 介词 to 助词
"


"pos from 介词 to 并列连词
"


"pos from 介词 to 定冠
"


"pos from 介词 to 感叹
"
original sentence,"It ’s sort of like , "" Hmmm ... that ’s hilarious . That ’s really really funny "" rather than people falling off their chairs ."
wrong word,like 5
mutation sentence,"It ’s always sort of like , "" Hmmm ... that ’s hilarious . That ’s really really funny "" rather than people falling off their chairs ."

original sentence,"So instead of documenting the dreams it gradually became also like adding creational elements , and I think that somehow through writing my dreams I gradually came to writing , also poems , but mainly stories ."
wrong word,like 11
mutation sentence,"So instead of documenting the dreams it gradually became also like always adding creational elements , and I think that somehow through writing my dreams I gradually came to writing , also poems , but mainly stories ."
mutation sentence,"So instead of documenting the dreams it gradually became also like gradually adding creational elements , and I think that somehow through writing my dreams I gradually came to writing , also poems , but mainly stories ."

original sentence,Try not to make your words sound like utter and complete gibberish just add a little extra than our regular English language .
wrong word,like 8
mutation sentence,Try not to make your words sound all like utter and complete gibberish just add a little extra than our regular English language .



"pos from 介词 to 名词
"
original sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the 19th century ."
wrong word,ca. 34
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors worldwide , from the 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors today , from the 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors nationwide , from the 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from about the 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from approximately the 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from roughly the 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the late 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the early 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the mid 15th to the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to about the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to around the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to approximately the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to roughly the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to almost the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to nearly the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to even the 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the late 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the early 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the mid 19th century ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the 19th century onwards ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the 19th century on ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the 19th century inclusive ."
mutation sentence,"Given that need , we have developed software , based on Natural Language Processing , that automatically identifies enjambment in Spanish , and applied it to a corpus of approx. 3750 sonnets by ca. 1000 authors , from the 15th to the 19th century onward ."

original sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
wrong word,during 38
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals alone was 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals also was 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals only was 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was about 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was approximately 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was around 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was only 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was ~ 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was over 40 % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was 40 + % more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was 40 % times more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was 40 % fold more vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was 40 % more nearly vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
mutation sentence,"The posterior displacement of the CoM produced a more vertically oriented femur during standing ( femur in experimental animals was 40 % more strictly vertical than control subjects ) , and increased femoral retraction and decreased knee flexion during walking ."
