all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"I could see into his head better than I could see into my very own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; maybe he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; perhaps he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; probably he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; Maybe he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he probably was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he obviously was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he still was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he really was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he just was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he clearly was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was so scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared enough that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared badly that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared again that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared too that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared somehow that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared desperately that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that somehow his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that even his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that eventually his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that soon his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his other attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his potential attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his two attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his new attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his future attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his possible attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his three attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his own attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his unknown attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his real attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers outside might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers inside might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers just might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers nearby might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers still might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers here might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers really might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might just think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might actually think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might even think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might somehow think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might still think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might really think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might suddenly think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might simply think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might already think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those big hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those two hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those small hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those same hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those strong hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those cold hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands really were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were really coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were slowly coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were already coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were still coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were now coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were finally coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming back up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming right up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming straight up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up only to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up again to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to maybe hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back again , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back too , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back instead , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back hard , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back harder , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that then they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him there even more ."

original sentence,"Title , binding , and covers had been gnawed away ."
wrong word,away 10
mutation sentence,"Title , binding , and covers had been gnawed clean away ."
mutation sentence,"Title , binding , and covers had been gnawed back away ."
mutation sentence,"Title , binding , and covers had been gnawed completely away ."
mutation sentence,"Title , binding , and covers had been gnawed right away ."
mutation sentence,"Title , binding , and covers had been gnawed gently away ."
mutation sentence,"Title , binding , and covers had been gnawed half away ."
mutation sentence,"Title , binding , and covers had been gnawed long away ."

original sentence,"Pete was leaning against the wall , watching the street go by ."
wrong word,by 12
mutation sentence,"Pete was just leaning against the wall , watching the street go by ."
mutation sentence,"Pete was leaning against the wall , just watching the street go by ."
mutation sentence,"Pete was leaning against the wall , intently watching the street go by ."
mutation sentence,"Pete was leaning against the wall , absently watching the street go by ."
mutation sentence,"Pete was leaning against the wall , still watching the street go by ."
mutation sentence,"Pete was leaning against the wall , watching the quiet street go by ."
mutation sentence,"Pete was leaning against the wall , watching the familiar street go by ."
mutation sentence,"Pete was leaning against the wall , watching the silent street go by ."
mutation sentence,"Pete was leaning against the wall , watching the street go slowly by ."
mutation sentence,"Pete was leaning against the wall , watching the street go quickly by ."
mutation sentence,"Pete was leaning against the wall , watching the street go by quickly ."
mutation sentence,"Pete was leaning against the wall , watching the street go by quietly ."

original sentence,"I held a finger up to my lips , and waved a hand to silence Pete ’s reply ."
wrong word,up 5
mutation sentence,"I quickly held a finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I immediately held a finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I just held a finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I instantly held a finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I slowly held a finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a warning finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a second finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a shaky finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a shaking finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a trembling finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a middle finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a silent finger up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger back up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger firmly up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger right up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger directly up to my lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my pursed lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my smiling lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my red lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my dry lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my full lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my grinning lips , and waved a hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my lips , and waved a shaky hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my lips , and waved a shaking hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my lips , and waved a calming hand to silence Pete ’s reply ."
mutation sentence,"I held a finger up to my lips , and waved a hand around to silence Pete ’s reply ."

original sentence,“ Ca n’t you just poke it out ? ”
wrong word,out 8
mutation sentence,“ Ca n’t you just poke it back out ? ”

original sentence,We currently have just under 50000 articles and over 1000 featured articles .
wrong word,over 9
mutation sentence,We currently have just about under 50000 articles and over 1000 featured articles .
mutation sentence,We currently have just under $ 50000 articles and over 1000 featured articles .

original sentence,"View of the George Washington Bridge 's long span and Manhattan , as seen while looking east from Fort Lee Historic Park"
wrong word,as 13
mutation sentence,"View of the George Washington Bridge 's long span and Manhattan , as easily seen while looking east from Fort Lee Historic Park"

original sentence,"With over 40,000 inhabitants , though , it 's not just a nature reserve ."
wrong word,over 2
mutation sentence,"With over 40,000 new inhabitants , though , it 's not just a nature reserve ."

original sentence,"You should also stretch to "" wind down "" at the end of ballet dancing ."
wrong word,down 8
mutation sentence,"You should also stretch to "" slowly wind down "" at the end of ballet dancing ."
mutation sentence,"You should also stretch to "" slightly wind down "" at the end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down slowly "" at the end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down slightly "" at the end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down fast "" at the end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down "" slightly at the end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down "" at the high end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down "" at the deep end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down "" at the extreme end of ballet dancing ."
mutation sentence,"You should also stretch to "" wind down "" at the low end of ballet dancing ."

original sentence,Hold the bird down gently with one hand .
wrong word,down 4
mutation sentence,Hold the bird upside down gently with one hand .
mutation sentence,Hold the bird back down gently with one hand .

original sentence,Quidditch has also spread outside of America and is now played on 5 continents .
wrong word,outside 5
mutation sentence,Quidditch has also spread far outside of America and is now played on 5 continents .
mutation sentence,Quidditch has also spread much outside of America and is now played on 5 continents .

original sentence,Quinoa will continue cooking for a bit even after you take it off the heat .
wrong word,after 9
mutation sentence,Quinoa will continue cooking for a bit even after all you take it off the heat .



"pos from 介词 to 助词
"


"pos from 介词 to 并列连词
"


"pos from 介词 to 定冠
"


"pos from 介词 to 感叹
"


"pos from 介词 to 名词
"


"pos from 介词 to 数字
"


"pos from 介词 to 功能
"


"pos from 介词 to 代词
"


"pos from 介词 to 特指名词
"
original sentence,"New inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
wrong word,Łódź 9
mutation sentence,"New urban inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New local inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New native inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New rich inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New Polish inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New new inhabitants , craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , new craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , skilled craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , especially craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , young craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , mostly craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , talented craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , more craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , mainly craftsmen and merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and wealthy merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and rich merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and prosperous merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and foreign merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and other merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and new merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and small merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and even merchants came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and merchants also came to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and merchants came regularly to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and merchants came daily to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and merchants came in to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and merchants came frequently to Łódź ; markets and town fairs came to life ."
mutation sentence,"New inhabitants , craftsmen and merchants came directly to Łódź ; markets and town fairs came to life ."



"pos from 介词 to 标点
"


"pos from 介词 to 从句连词
"


"pos from 介词 to 符号
"


"pos from 介词 to 动词
"


"pos from 介词 to 其他
"


"pos from 副词 to 形容
"
original sentence,Further exploration with greater cardinal number ranges could also prove interesting .
wrong word,Further 1
mutation sentence,Further mathematical exploration with greater cardinal number ranges could also prove interesting .
mutation sentence,Further algebraic exploration with greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with much greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with even greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with ever greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with far greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with slightly greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with successively greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with other greater cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater possible cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater extended cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater available cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater known cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater global cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater local cardinal number ranges could also prove interesting .
mutation sentence,Further exploration with greater cardinal number spectral ranges could also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges possible could also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges potentially could also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could potentially also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could therefore also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could possibly also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could perhaps also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could then also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could thus also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could probably also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could however also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could yet also prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also potentially prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also possibly prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also perhaps prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also still prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also sometimes prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also likely prove interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove very interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove more interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove quite interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove extremely interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove particularly interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove especially interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove less interesting .
mutation sentence,Further exploration with greater cardinal number ranges could also prove interesting however .
mutation sentence,Further exploration with greater cardinal number ranges could also prove interesting indeed .
mutation sentence,Further exploration with greater cardinal number ranges could also prove interesting though .
mutation sentence,Further exploration with greater cardinal number ranges could also prove interesting later .

original sentence,"A spattering of drops plucked memories from deep in the roots , shivering through shoots and tendrils , humus and stone ."
wrong word,deep 8
mutation sentence,"A spattering of drops plucked memories from deep in the roots overhead , shivering through shoots and tendrils , humus and stone ."
mutation sentence,"A spattering of drops plucked memories from deep in the roots nearby , shivering through shoots and tendrils , humus and stone ."

original sentence,Blood coursed unheeded from his nose and splattered down his shirt .
wrong word,unheeded 3
mutation sentence,Blood still coursed unheeded from his nose and splattered down his shirt .
mutation sentence,Blood now coursed unheeded from his nose and splattered down his shirt .
mutation sentence,Blood also coursed unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed out unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed down unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed in unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed up unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed back unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed freely unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed forth unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed forward unheeded from his nose and splattered down his shirt .
mutation sentence,Blood coursed unheeded from his nose and also splattered down his shirt .

original sentence,"Veronique stayed with me that night , lying next to me in my blankets and furs ."
wrong word,next 9
mutation sentence,"Veronique stayed with me that night , lying next door to me in my blankets and furs ."
mutation sentence,"Veronique stayed with me that night , lying next quietly to me in my blankets and furs ."
mutation sentence,"Veronique stayed with me that night , lying next again to me in my blankets and furs ."
mutation sentence,"Veronique stayed with me that night , lying next to me in my own blankets and furs ."
mutation sentence,"Veronique stayed with me that night , lying next to me in my blankets and furs nearby ."

original sentence,you 've kept it up this long
wrong word,long 7
mutation sentence,you 've kept it up this very long

original sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most settled islands in New Zealand .
wrong word,eastern-most 14
mutation sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most permanently settled islands in New Zealand .
mutation sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most continuously settled islands in New Zealand .
mutation sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most traditionally settled islands in New Zealand .
mutation sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most indigenous settled islands in New Zealand .
mutation sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most native settled islands in New Zealand .
mutation sentence,The Chatnam Islands ( Rekohu in the indigenous Moriori language ) are the eastern-most heavily settled islands in New Zealand .

original sentence,"Plus , this region ranks fifth in the nation in number of major cultural resources per one million residents ."
wrong word,fifth 6
mutation sentence,"Plus , this region ranks joint fifth in the nation in number of major cultural resources per one million residents ."

original sentence,They have a warm local atmosphere and taste great .
wrong word,great 9
mutation sentence,They also have a warm local atmosphere and taste great .
mutation sentence,They usually have a warm local atmosphere and taste great .
mutation sentence,They always have a warm local atmosphere and taste great .
mutation sentence,They often have a warm local atmosphere and taste great .
mutation sentence,They have a very warm local atmosphere and taste great .
mutation sentence,They have a pleasant warm local atmosphere and taste great .
mutation sentence,They have a lovely warm local atmosphere and taste great .
mutation sentence,They have a wonderful warm local atmosphere and taste great .
mutation sentence,They have a rather warm local atmosphere and taste great .
mutation sentence,They have a sweet warm local atmosphere and taste great .
mutation sentence,They have a natural warm local atmosphere and taste great .
mutation sentence,They have a warm local atmosphere and always taste great .
mutation sentence,They have a warm local atmosphere and also taste great .
mutation sentence,They have a warm local atmosphere and usually taste great .
mutation sentence,They have a warm local atmosphere and often taste great .
mutation sentence,They have a warm local atmosphere and generally taste great .
mutation sentence,They have a warm local atmosphere and taste great too .

original sentence,The tree got its name because if any damage is made to the bark then a dark red liquid oozes out .
wrong word,dark 17
mutation sentence,The tree got its name because if any damage is made to the bark then a foul dark red liquid oozes out .
mutation sentence,The tree got its name because if any damage is made to the bark then a dark reddish red liquid oozes out .
mutation sentence,The tree got its name because if any damage is made to the bark then a dark blood red liquid oozes out .

original sentence,"To plant the basil in the garden , dig holes spaced at least 6 inches apart ."
wrong word,least 13
mutation sentence,"To plant the basil in the garden , dig holes spaced apart at least 6 inches apart ."
mutation sentence,"To plant the basil in the garden , dig holes spaced at least exactly 6 inches apart ."



"pos from 副词 to 介词
"
original sentence,"Veronique stayed with me that night , lying next to me in my blankets and furs ."
wrong word,next 9
mutation sentence,"Veronique stayed with me that night , lying there next to me in my blankets and furs ."

original sentence,"On March 13 , Professor Chomsky sat down with Michael Dranove for an interview in his MIT office in Cambridge , Massachusetts ."
wrong word,down 8
mutation sentence,"On March 13 , Professor Chomsky finally sat down with Michael Dranove for an interview in his MIT office in Cambridge , Massachusetts ."

original sentence,Troy Patterson of Slate Magazine ventured over to Pacific Standard to sample the new santorum cocktail at the bar .
wrong word,over 7
mutation sentence,Troy Patterson of Slate Magazine ventured directly over to Pacific Standard to sample the new santorum cocktail at the bar .
