all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
wrong word,magic 8
mutation sentence,You do n't need flying broomsticks or giant magic balls to play this version of the game - it 's tailor-made for muggles like us .
mutation sentence,You do n't need flying broomsticks or magical magic balls to play this version of the game - it 's tailor-made for muggles like us .
mutation sentence,You do n't need flying broomsticks or little magic balls to play this version of the game - it 's tailor-made for muggles like us .
mutation sentence,You do n't need flying broomsticks or magic balls around to play this version of the game - it 's tailor-made for muggles like us .



"pos from 形容 to 数字
"
original sentence,"It recently published its 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
wrong word,"50,000th 5"
mutation sentence,"It recently published its nearly 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
mutation sentence,"It recently published its over 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."



"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,Replication in Second Language Research :
wrong word,Second 3
mutation sentence,Replication in Second Language Research 2014 :

original sentence,"In 2005 , she was awarded with the Stanislavsky Award at the 27th Moscow International Film Festival . [ 9 ]"
wrong word,27th 13
mutation sentence,"In 2005 , she was awarded with the Stanislavsky Award at the 27th Annual Moscow International Film Festival . [ 9 ]"

original sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
wrong word,American 17
mutation sentence,His 1952 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1930 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1931 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1965 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1964 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1932 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1928 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1934 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1929 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1962 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Experimental Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Mathematical Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of English Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Written Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the earliest major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the early major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major seminal works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major founding works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major pioneering works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major influential works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of North American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of Latin American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of Early American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Literary Structuralism .

original sentence,It owns the title of the longest-running North American sci-fi series in history . [ 10 ]
wrong word,North 8
mutation sentence,It owns now the title of the longest-running North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running original North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running ongoing North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running independent North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running daily North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running weekly North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running syndicated North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running animated North American sci-fi series in history . [ 10 ]

original sentence,"Although it seems Theodorus practiced complete submission to the new leader of the Koinonia , problems soon arose in several Pachomian monasteries that viewed Horsiesios as a weak leader ."
wrong word,Pachomian 21
mutation sentence,"Although it seems Theodorus practiced complete submission to the new leader of the Koinonia , problems soon arose in several Eastern Pachomian monasteries that viewed Horsiesios as a weak leader ."

original sentence,Santa had spent his day opening envelopes from North American children and falling asleep watching the Pittsburgh - Cleveland game in the media room .
wrong word,North 9
mutation sentence,Santa had spent his day opening envelopes from North Central American children and falling asleep watching the Pittsburgh - Cleveland game in the media room .

original sentence,"He was one of the first opponents of the Vietnam War , and is a self-described Libertarian Socialist ."
wrong word,Libertarian 17
mutation sentence,"He was one of the first opponents of the Vietnam War , and is a self-described American Libertarian Socialist ."
mutation sentence,"He was one of the first opponents of the Vietnam War , and is a self-described former Libertarian Socialist ."
mutation sentence,"He was one of the first opponents of the Vietnam War , and is a self-described Radical Libertarian Socialist ."

original sentence,We are run as a Hybrid Organization - a for-profit company focused on achieving a social good .
wrong word,Hybrid 6
mutation sentence,We are run as a Global Hybrid Organization - a for-profit company focused on achieving a social good .
mutation sentence,We are run as a new Hybrid Organization - a for-profit company focused on achieving a social good .

original sentence,Why did you decide to use a Creative Commons license ?
wrong word,Creative 8
mutation sentence,Why did you suddenly decide to use a Creative Commons license ?
mutation sentence,Why did you finally decide to use a Creative Commons license ?
mutation sentence,Why did you never decide to use a Creative Commons license ?
mutation sentence,Why did you eventually decide to use a Creative Commons license ?
mutation sentence,Why did you decide to just use a Creative Commons license ?
mutation sentence,Why did you decide to instead use a Creative Commons license ?
mutation sentence,Why did you decide to never use a Creative Commons license ?
mutation sentence,Why did you decide to first use a Creative Commons license ?
mutation sentence,Why did you decide to use a new Creative Commons license ?
mutation sentence,Why did you decide to use a different Creative Commons license ?
mutation sentence,Why did you decide to use a free Creative Commons license ?
mutation sentence,Why did you decide to use a valid Creative Commons license ?
mutation sentence,Why did you decide to use a standard Creative Commons license ?
mutation sentence,Why did you decide to use a modified Creative Commons license ?
mutation sentence,Why did you decide to use a separate Creative Commons license ?
mutation sentence,Why did you decide to use a special Creative Commons license ?
mutation sentence,Why did you decide to use a generic Creative Commons license ?
mutation sentence,Why did you decide to use a Creative Commons license instead ?
mutation sentence,Why did you decide to use a Creative Commons license again ?
mutation sentence,Why did you decide to use a Creative Commons license today ?
mutation sentence,Why did you decide to use a Creative Commons license then ?
mutation sentence,Why did you decide to use a Creative Commons license here ?
mutation sentence,Why did you decide to use a Creative Commons license anyway ?
mutation sentence,Why did you decide to use a Creative Commons license online ?

original sentence,This exclusive interview features first-hand journalism by a Wikinews reporter .
wrong word,Wikinews 9
mutation sentence,This exclusive interview features first-hand journalism by a Wikinews online reporter .
mutation sentence,This exclusive interview features first-hand journalism by a Wikinews senior reporter .
mutation sentence,This exclusive interview features first-hand journalism by a Wikinews reporter herself .

original sentence,"Stardust @ home is a highly distributed project using a "" Virtual Microscope "" that is written in html and javascript and runs on most browsers — no downloads are required ."
wrong word,Virtual 12
mutation sentence,"Stardust @ home is a highly distributed project using a new "" Virtual Microscope "" that is written in html and javascript and runs on most browsers — no downloads are required ."
mutation sentence,"Stardust @ home is a highly distributed project using a "" Live Virtual Microscope "" that is written in html and javascript and runs on most browsers — no downloads are required ."
mutation sentence,"Stardust @ home is a highly distributed project using a "" Mobile Virtual Microscope "" that is written in html and javascript and runs on most browsers — no downloads are required ."

original sentence,Myanmar is mainly Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
wrong word,Buddhist 4
mutation sentence,Myanmar is today mainly Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Sunni Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Shia Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Buddhist and the 2008 United Nations rates the Rohingya among the world 's most persecuted groups .

original sentence,"The Greek Orthodox Church , a Christian denomination , is extremely critical of worshippers of the ancient deities ."
wrong word,Christian 7
mutation sentence,"The Greek Orthodox Church , a Christian Orthodox denomination , is extremely critical of worshippers of the ancient deities ."
mutation sentence,"The Greek Orthodox Church , a Christian Protestant denomination , is extremely critical of worshippers of the ancient deities ."

original sentence,"Experience Moriori culture , experience Rekohu ."
wrong word,Moriori 2
mutation sentence,"Experience Moriori culture Today , experience Rekohu ."

original sentence,"When applying to the Cuban Consulate by post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
wrong word,Cuban 5
mutation sentence,"When applying to the Cuban Consulate by diplomatic post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by registered post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by military post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by second post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post abroad , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , then there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , today there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , here there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."

original sentence,If you can not go to the Cuban Consulate you may consider using VisaCuba ( [ 3 ] ) because it may be cheaper .
wrong word,Cuban 8
mutation sentence,If you can not go to the Cuban Consulate then you may consider using VisaCuba ( [ 3 ] ) because it may be cheaper .



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"
original sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
wrong word,thin 4
mutation sentence,"The plots were thin throughout , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."

original sentence,He also led the Owls with 67 runs scored and shared the team lead with 11 stolen bases .
wrong word,stolen 17
mutation sentence,He also led the Owls with 67 runs scored and shared the team lead with 11 career stolen bases .
mutation sentence,He also led the Owls with 67 runs scored and shared the team lead with 11 total stolen bases .
mutation sentence,He also led the Owls with 67 runs scored and shared the team lead with 11 consecutive stolen bases .
mutation sentence,He also led the Owls with 67 runs scored and shared the team lead with 11 straight stolen bases .
mutation sentence,He also led the Owls with 67 runs scored and shared the team lead with 11 solo stolen bases .

original sentence,"She was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
wrong word,bent 7
mutation sentence,"She was bony and rough-skinned and bent over like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
mutation sentence,"She was bony and rough-skinned and bent forward like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
mutation sentence,"She was bony and rough-skinned and bent back like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
mutation sentence,"She was bony and rough-skinned and bent backward like an old crow , with a blue silk scarf and hanks of hair as black as soot ."
mutation sentence,"She was bony and rough-skinned and bent sideways like an old crow , with a blue silk scarf and hanks of hair as black as soot ."

original sentence,"On the other hand , this is n't to say that you should necessarily make jokes at other people 's expense , as this can make you seem mean and petty ."
wrong word,petty 31
mutation sentence,"On the other hand , this is n't to say that you should necessarily make jokes at other people 's expense , as this can make you seem mean and petty again ."

original sentence,"St Jude , the patron saint of Lost Causes , comes to mind ."
wrong word,Lost 8
mutation sentence,"St Jude himself , the patron saint of Lost Causes , comes to mind ."
mutation sentence,"St Jude , the patron saint also of Lost Causes , comes to mind ."
mutation sentence,"St Jude , the patron saint of Lost Causes , comes to mind often ."
mutation sentence,"St Jude , the patron saint of Lost Causes , comes to mind sometimes ."

original sentence,You do n't need flying broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .
wrong word,tailor-made 20
mutation sentence,You do n't need flying broomsticks or magic balls to play this version of the game - it 's tailor-made specifically for muggles like us .



"pos from 形容 to 其他
"


"pos from 介词 to 形容
"


"pos from 介词 to 介词
"


"pos from 介词 to 副词
"
original sentence,"For instance , those with an interest in deceiving the general public may set up parallel institutions that ostensibly guarantee expertise , taking advantage of the ways in which these parallel institutions mimic legitimate institutions to ensure that people are taken in ."
wrong word,in 42
mutation sentence,"For instance , those with an interest in deceiving the general public may set up parallel institutions that ostensibly guarantee expertise , taking advantage of the ways in which these parallel institutions mimic legitimate institutions to ensure that people are taken seriously in ."
mutation sentence,"For instance , those with an interest in deceiving the general public may set up parallel institutions that ostensibly guarantee expertise , taking advantage of the ways in which these parallel institutions mimic legitimate institutions to ensure that people are taken right in ."

original sentence,It is persistent in the environment ; it never breaks down nor goes away .
wrong word,down 11
mutation sentence,It is persistent in the environment ; it never breaks completely down nor goes away .

original sentence,He later gave in to his father 's wish and studied business .
wrong word,in 4
mutation sentence,He later gave right in to his father 's wish and studied business .

original sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
wrong word,down 16
mutation sentence,"The plots were thin , there was little development of character and they were loaded heavily down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
mutation sentence,"The plots were thin , there was little development of character and they were loaded right down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."

original sentence,"MLB statistics ( through September 20 , 2018 )"
wrong word,through 4
mutation sentence,"MLB statistics ( through about September 20 , 2018 )"

original sentence,"Santa bent down to pick them up , mumbling about “ emergency money . ”"
wrong word,down 3
mutation sentence,"Santa bent back down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent straight down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent farther down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent further down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent low down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent slowly down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent halfway down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent quickly down to pick them up , mumbling about “ emergency money . ”"

original sentence,"One day Tyler looked through an old family photo album , and in it was a picture of the kitchen in the house they used to live in ."
wrong word,in 28
mutation sentence,"One day Tyler looked through an old family photo album , and in it was a picture of the kitchen in the house they used to live together in ."
mutation sentence,"One day Tyler looked through an old family photo album , and in it was a picture of the kitchen in the house they used to live in together ."
mutation sentence,"One day Tyler looked through an old family photo album , and in it was a picture of the kitchen in the house they used to live in earlier ."

original sentence,"She tries to sit down , but I just keep on tugging and she follows me , gulping and wailing ."
wrong word,down 5
mutation sentence,"She tries to sit back down , but I just keep on tugging and she follows me , gulping and wailing ."
mutation sentence,"She tries to sit down again , but I just keep on tugging and she follows me , gulping and wailing ."

original sentence,"“ Nonetheless , ” the traveler said , and she walked out ."
wrong word,out 12
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked back out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked slowly out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked right out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked straight out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked out alone ."

original sentence,She invited me in for tea and massage .
wrong word,in 4
mutation sentence,She invited me back in for tea and massage .
mutation sentence,She invited me straight in for tea and massage .
mutation sentence,She invited me right in for tea and massage .
mutation sentence,She invited me in later for tea and massage .
mutation sentence,She invited me in again for tea and massage .
mutation sentence,She invited me in early for tea and massage .

original sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down upon a tiny village below ."
wrong word,down 15
mutation sentence,"The enormous forms of the battleships loomed like giants atop a low hill , staring down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring directly down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring straight down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring back down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring silently down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring coldly down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring intently down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring calmly down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring steadily down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring right down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down directly upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down silently upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down coldly upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down calmly upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down angrily upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down intently upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down steadily upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down hard upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down sadly upon a tiny village below ."

original sentence,We have worn her down .
wrong word,down 5
mutation sentence,We have worn her completely down .

original sentence,"She looks up at me , at Renata ."
wrong word,up 3
mutation sentence,"She looks right up at me , at Renata ."
mutation sentence,"She looks quickly up at me , at Renata ."

original sentence,I laid her down on some sticks .
wrong word,down 4
mutation sentence,I laid her gently down on some sticks .
mutation sentence,I laid her carefully down on some sticks .

original sentence,It did n't start out here .
wrong word,out 5
mutation sentence,It did n't start out well here .

original sentence,""" I have no doubt that as time goes on , there will be more and more cases documented """
wrong word,on 10
mutation sentence,""" I have no doubt that as time goes farther on , there will be more and more cases documented """
mutation sentence,""" I have no doubt that as time goes ever on , there will be more and more cases documented """
mutation sentence,""" I have no doubt that as time goes further on , there will be more and more cases documented """
mutation sentence,""" I have no doubt that as time goes back on , there will be more and more cases documented """
mutation sentence,""" I have no doubt that as time goes slowly on , there will be more and more cases documented """
mutation sentence,""" I have no doubt that as time goes right on , there will be more and more cases documented """

original sentence,"On March 13 , Professor Chomsky sat down with Michael Dranove for an interview in his MIT office in Cambridge , Massachusetts ."
wrong word,down 8
mutation sentence,"On March 13 , Professor Chomsky sat back down with Michael Dranove for an interview in his MIT office in Cambridge , Massachusetts ."
mutation sentence,"On March 13 , Professor Chomsky sat personally down with Michael Dranove for an interview in his MIT office in Cambridge , Massachusetts ."
mutation sentence,"On March 13 , Professor Chomsky sat down alone with Michael Dranove for an interview in his MIT office in Cambridge , Massachusetts ."

original sentence,"So that ’s a frightening idea , and police were called in and so on ."
wrong word,in 12
mutation sentence,"So that ’s a frightening idea , and police were called right in and so on ."

original sentence,We were just trying to come up with a topical and funny new cocktail for our customers to laugh about and enjoy .
wrong word,up 7
mutation sentence,We were just trying to come back up with a topical and funny new cocktail for our customers to laugh about and enjoy .
mutation sentence,We were just trying to come right up with a topical and funny new cocktail for our customers to laugh about and enjoy .
mutation sentence,We were just trying to come straight up with a topical and funny new cocktail for our customers to laugh about and enjoy .
mutation sentence,We were just trying to come up quickly with a topical and funny new cocktail for our customers to laugh about and enjoy .

original sentence,He 'll make you fill one out .
wrong word,out 7
mutation sentence,He 'll make you fill one out later .

original sentence,And then I had a bit of some time off in 2011 .
wrong word,off 10
mutation sentence,And then I had a bit of some free time off in 2011 .
mutation sentence,And then I had a bit of some extra time off in 2011 .
mutation sentence,And then I had a bit of some personal time off in 2011 .
mutation sentence,And then I had a bit of some time off again in 2011 .
mutation sentence,And then I had a bit of some time off back in 2011 .
mutation sentence,And then I had a bit of some time off sometime in 2011 .

original sentence,"Then earlier this year these shirts started to come out that said , "" Poet says We Know "" ."
wrong word,out 10
mutation sentence,"Then earlier this year these shirts started to come back out that said , "" Poet says We Know "" ."
mutation sentence,"Then earlier this year these shirts started to come out everywhere that said , "" Poet says We Know "" ."
mutation sentence,"Then earlier this year these shirts started to come out again that said , "" Poet says We Know "" ."
mutation sentence,"Then earlier this year these shirts started to come out online that said , "" Poet says We Know "" ."

original sentence,"We whittle that down on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole editorial staff ; all fifteen of us ."
wrong word,down 4
mutation sentence,"We whittle that down early on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole editorial staff ; all fifteen of us ."
mutation sentence,"We whittle that down again on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole editorial staff ; all fifteen of us ."
mutation sentence,"We whittle that down late on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole editorial staff ; all fifteen of us ."
mutation sentence,"We whittle that down quickly on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole editorial staff ; all fifteen of us ."

original sentence,And then I noticed that I cheat a little bit when I write them down .
wrong word,down 15
mutation sentence,And then I noticed that I cheat a little bit when I write them back down .

original sentence,I think that in this kind of structure there is a very gradual clarification of the relationship and the forth going on .
wrong word,on 22
mutation sentence,I think that in this kind of structure there is a very gradual clarification of the relationship and the forth going in on .
mutation sentence,I think that in this kind of structure there is a very gradual clarification of the relationship and the forth going on ahead .
mutation sentence,I think that in this kind of structure there is a very gradual clarification of the relationship and the forth going on together .
mutation sentence,I think that in this kind of structure there is a very gradual clarification of the relationship and the forth going on forward .

original sentence,"Young and new faces emerged in the new council members , as veteran politicians stepped down in both the anti-establishment and pro-Beijing campus ."
wrong word,down 16
mutation sentence,"Young and new faces emerged in the new council members , as veteran politicians stepped back down in both the anti-establishment and pro-Beijing campus ."

original sentence,"Wikinews has learned that according to an Internet posting made just over 24 hours ago , the Church of Scientology 's website is being attacked by hackers , causing the site to shut down ."
wrong word,down 34
mutation sentence,"Wikinews has learned that according to an Internet posting made just over 24 hours ago , the Church of Scientology 's website is being attacked by hackers , causing the site to shut completely down ."

original sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given away by the city and bought from street vendors at the event ."
wrong word,away 19
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given far away by the city and bought from street vendors at the event ."
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given right away by the city and bought from street vendors at the event ."
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given back away by the city and bought from street vendors at the event ."
mutation sentence,"People flock to see the lantern scenes and enjoy the festival atmosphere as they carry lanterns , given annually away by the city and bought from street vendors at the event ."

original sentence,""" I smacked them around . """
wrong word,around 5
mutation sentence,""" I smacked them around earlier . """

original sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed away in 1933 .
wrong word,away 13
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed peacefully away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed right away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed quietly away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed far away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed straight away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed away later in 1933 .

original sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
wrong word,over 43
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled all over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."

original sentence,If your drawstring is longer than your pinkie then you should cut it off till it is roughly the size of your fingernail .
wrong word,off 14
mutation sentence,If your drawstring is longer than your pinkie then you should cut it right off till it is roughly the size of your fingernail .
mutation sentence,If your drawstring is longer than your pinkie then you should cut it straight off till it is roughly the size of your fingernail .
mutation sentence,If your drawstring is longer than your pinkie then you should cut it completely off till it is roughly the size of your fingernail .
mutation sentence,If your drawstring is longer than your pinkie then you should cut it slowly off till it is roughly the size of your fingernail .

original sentence,Hold the chicken down on a flat surface .
wrong word,down 4
mutation sentence,Hold the chicken down gently on a flat surface .
mutation sentence,Hold the chicken down tightly on a flat surface .
mutation sentence,Hold the chicken down slowly on a flat surface .
mutation sentence,Hold the chicken down evenly on a flat surface .

original sentence,Clap your hands or give it a gentle shove until it jumps up and walks away .
wrong word,up 13
mutation sentence,Clap your hands or give it a gentle shove until it jumps right up and walks away .

original sentence,"The G-forces will multiply your body weight , making it impossible to hold on ;"
wrong word,on 14
mutation sentence,"The G-forces will multiply your body weight , making it impossible to hold on longer ;"
mutation sentence,"The G-forces will multiply your body weight , making it impossible to hold on well ;"

original sentence,Write every thought down that comes up during work .
wrong word,down 4
mutation sentence,Write every thought right down that comes up during work .

original sentence,"When you have a looming project that 's bogging you down and making you unproductive in other areas , tackle it first ."
wrong word,down 11
mutation sentence,"When you have a looming project that 's bogging even you down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you right down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you completely down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you totally down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you further down and making you unproductive in other areas , tackle it first ."
mutation sentence,"When you have a looming project that 's bogging you emotionally down and making you unproductive in other areas , tackle it first ."



"pos from 介词 to 助词
"


"pos from 介词 to 并列连词
"


"pos from 介词 to 定冠
"


"pos from 介词 to 感叹
"


"pos from 介词 to 名词
"


"pos from 介词 to 数字
"


"pos from 介词 to 功能
"
original sentence,"They discussed the "" dictionary of the future "" , in which every word would be linked to example sentences from corpora . [ 7 ] [ 9 ]"
wrong word,to 18
mutation sentence,"They discussed the "" dictionary of the future "" , in which every word would be linked to separate example sentences from corpora . [ 7 ] [ 9 ]"



"pos from 介词 to 代词
"


"pos from 介词 to 特指名词
"


"pos from 介词 to 标点
"


"pos from 介词 to 从句连词
"
original sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
wrong word,during 6
mutation sentence,"Interestingly though , the femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly however , the femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
